from	to	weight
FCGR1A	SQOR	1.874551288
TTC39C	CA3	1.87452453
CA3	TTC39C	1.87452453
MVP	SYNM	1.874301341
SYNM	MVP	1.874301341
PSMB10	CD74	1.874085946
CD74	PSMB10	1.874085946
TPPP	GPM6B	1.873791595
GPM6B	TPPP	1.873791595
BMP2K	ZNF579	1.872118541
ZNF579	BMP2K	1.872118541
TMOD2	RAP2A	1.871752253
RAP2A	TMOD2	1.871752253
PSMB10	HLA-DRA	1.87080027
HLA-DRA	PSMB10	1.87080027
PSMB10	ITGB2	1.870551084
ITGB2	PSMB10	1.870551084
ITGB2	APBB1IP	1.870329974
APBB1IP	ITGB2	1.870329974
SYNJ1	PDXP	1.870079994
PDXP	SYNJ1	1.870079994
PTPRC	APOL2	1.869948184
APOL2	PTPRC	1.869948184
CD74	GBP2	1.869006406
GBP2	CD74	1.869006406
PSMB10	SERPINB8	1.868388169
SERPINB8	PSMB10	1.868388169
GNAQ	GNAO1	1.867416459
GNAO1	GNAQ	1.867416459
PYGL	SERPINB8	1.866922701
SERPINB8	PYGL	1.866922701
PSMB10	MVP	1.865054287
MVP	PSMB10	1.865054287
EHD4	FCGR1A	1.862644129
FCGR1A	EHD4	1.862644129
ACSS3	ZNF579	1.861583298
ZNF579	ACSS3	1.861583298
HCLS1	EHD4	1.861217131
EHD4	HCLS1	1.861217131
GBP2	HLA-DRA	1.8607194
HLA-DRA	GBP2	1.8607194
GBP1	SYNM	1.86035881
SYNM	GBP1	1.86035881
SLC1A2	MRAS	1.86031287
MRAS	SLC1A2	1.86031287
MAPK1	SIRPA	1.859881895
SIRPA	MAPK1	1.859881895
CNTNAP1	NFASC	1.859589935
NFASC	CNTNAP1	1.859589935
CD74	ITGA3	1.858866959
ITGA3	CD74	1.858866959
GPM6B	ANK2	1.856925941
ANK2	GPM6B	1.856925941
ATP6V1G2	SYNJ1	1.856315515
SYNJ1	ATP6V1G2	1.856315515
PSMB10	TAP1	1.856052827
TAP1	PSMB10	1.856052827
PHLDB1	APBB1IP	1.85532547
APBB1IP	PHLDB1	1.85532547
APOL2	FCER1G	1.853609966
FCER1G	APOL2	1.853609966
SERPINB8	VIM	1.852289806
VIM	SERPINB8	1.852289806
CNP	DNM3	1.851989862
DNM3	CNP	1.851989862
POLD1	BMP2K	1.850640592
BMP2K	POLD1	1.850640592
TPPP	MAP1A	1.850604859
MAP1A	TPPP	1.850604859
TAP1	POLD1	1.84994616
POLD1	TAP1	1.84994616
GNAQ	EPB41L1	1.848769856
EPB41L1	GNAQ	1.848769856
LSAMP	DPYSL2	1.848645894
DPYSL2	LSAMP	1.848645894
ITGAV	LRP1B	1.847355421
LRP1B	ITGAV	1.847355421
GBP2	HCLS1	1.846981246
HCLS1	GBP2	1.846981246
GNAQ	MRAS	1.846222032
MRAS	GNAQ	1.846222032
PTPRC	APBB1IP	1.84454594
APBB1IP	PTPRC	1.84454594
PLCB1	DPP6	1.844354719
DPP6	PLCB1	1.844354719
TTC39C	ZNF579	1.843914948
ZNF579	TTC39C	1.843914948
CNP	CNTNAP1	1.843873712
CNTNAP1	CNP	1.843873712
NFASC	GNAO1	1.84336564
GNAO1	NFASC	1.84336564
SLC1A2	ANK2	1.843055755
ANK2	SLC1A2	1.843055755
CD74	FCER1G	1.842866641
FCER1G	CD74	1.842866641
MAPK1	ANK2	1.842351211
ANK2	MAPK1	1.842351211
CNTNAP1	TPPP	1.84152729
TPPP	CNTNAP1	1.84152729
SERPINB8	TAP1	1.841130178
TAP1	SERPINB8	1.841130178
MVP	CD74	1.841070981
CD74	MVP	1.841070981
PHYHIP	NFASC	1.840349418
NFASC	PHYHIP	1.840349418
LSAMP	SIRPA	1.840297215
SIRPA	LSAMP	1.840297215
ITGB2	HLA-DRA	1.83907522
HLA-DRA	ITGB2	1.83907522
SQOR	HCLS1	1.837890505
HCLS1	SQOR	1.837890505
TMOD2	EPB41L1	1.837880441
EPB41L1	TMOD2	1.837880441
LSAMP	ANK2	1.837302446
ANK2	LSAMP	1.837302446
VIM	GBP1	1.837062092
GBP1	VIM	1.837062092
CNTNAP1	PHYHIP	1.83620216
PHYHIP	CNTNAP1	1.83620216
PSMB10	VIM	1.835402647
VIM	PSMB10	1.835402647
PLCB1	RAP2A	1.835393816
RAP2A	PLCB1	1.835393816
LSAMP	MAPK1	1.835392142
MAPK1	LSAMP	1.835392142
ATP6V1G2	EPB41L1	1.834979822
EPB41L1	ATP6V1G2	1.834979822
CNP	LRP1B	1.834449124
LRP1B	CNP	1.834449124
SLC1A2	PLCB1	1.833183977
PLCB1	SLC1A2	1.833183977
ATP1A1	LSAMP	1.832940157
LSAMP	ATP1A1	1.832940157
SQOR	EHD4	1.832737845
EHD4	SQOR	1.832737845
DPYSL2	MRAS	1.831969329
MRAS	DPYSL2	1.831969329
EHD4	APOL2	1.830073737
APOL2	EHD4	1.830073737
PHLDB1	KIF13B	1.82998202
KIF13B	PHLDB1	1.82998202
SIRPA	NFASC	1.82951909
NFASC	SIRPA	1.82951909
PYGL	GBP2	1.828558154
GBP2	PYGL	1.828558154
PSMB10	CYBB	1.828469692
CYBB	PSMB10	1.828469692
APOL2	TAP1	1.828288393
TAP1	APOL2	1.828288393
CD74	TAP1	1.828065217
TAP1	CD74	1.828065217
EHD4	FCER1G	1.827958061
FCER1G	EHD4	1.827958061
NME5	TAPT1	1.827953563
TAPT1	NME5	1.827953563
RAP2A	GNAO1	1.827812563
GNAO1	RAP2A	1.827812563
TAP1	BMP2K	1.827090566
BMP2K	TAP1	1.827090566
CD74	SAMHD1	1.826004573
SAMHD1	CD74	1.826004573
IGSF8	ATP6V1G2	1.825843242
ATP6V1G2	IGSF8	1.825843242
GBP2	EHD4	1.825179851
EHD4	GBP2	1.825179851
ATP6V1G2	GNAO1	1.824580121
GNAO1	ATP6V1G2	1.824580121
TTC39C	KRT17	1.824464653
KRT17	TTC39C	1.824464653
DPYSL2	ANK2	1.824378652
ANK2	DPYSL2	1.824378652
TAP1	EIF2D	1.823654169
EIF2D	TAP1	1.823654169
GNB1	SIRPA	1.822621727
SIRPA	GNB1	1.822621727
PDXP	SYN3	1.822394742
SYN3	PDXP	1.822394742
ITGAV	ITGA3	1.821753224
ITGA3	ITGAV	1.821753224
PYGL	KIF13B	1.821588216
KIF13B	PYGL	1.821588216
GNAQ	RAP2A	1.821214061
RAP2A	GNAQ	1.821214061
IGSF8	PHYHIP	1.820664483
PHYHIP	IGSF8	1.820664483
DPP6	RAP2A	1.820198861
RAP2A	DPP6	1.820198861
MVP	HLA-DRA	1.818178431
HLA-DRA	MVP	1.818178431
ATP6V1G2	TMOD2	1.818103875
TMOD2	ATP6V1G2	1.818103875
SIRPA	GNAO1	1.81805359
GNAO1	SIRPA	1.81805359
GNB1	GPM6B	1.816984984
GPM6B	GNB1	1.816984984
HCLS1	TAP1	1.816698858
TAP1	HCLS1	1.816698858
GNAQ	DPP6	1.816611471
DPP6	GNAQ	1.816611471
GNB1	NFASC	1.816539161
NFASC	GNB1	1.816539161
SIRT2	DNM3	1.815787127
DNM3	SIRT2	1.815787127
PTPRC	EHD4	1.815784471
EHD4	PTPRC	1.815784471
GPM6B	GNAO1	1.815754106
GNAO1	GPM6B	1.815754106
PYCARD	FCGR1A	1.815489477
FCGR1A	PYCARD	1.815489477
TMOD2	MAPK1	1.815461354
MAPK1	TMOD2	1.815461354
GNAQ	ATP6V1G2	1.814865985
ATP6V1G2	GNAQ	1.814865985
PLCB1	SIRPA	1.814494592
SIRPA	PLCB1	1.814494592
VIM	HLA-DRA	1.814043591
HLA-DRA	VIM	1.814043591
PHYHIP	SYN3	1.813398596
SYN3	PHYHIP	1.813398596
IGSF8	TPPP	1.813295429
TPPP	IGSF8	1.813295429
APBB1IP	GBP1	1.813097706
GBP1	APBB1IP	1.813097706
GNB1	PHYHIP	1.812860315
PHYHIP	GNB1	1.812860315
HLA-DRA	SAMHD1	1.811928249
SAMHD1	HLA-DRA	1.811928249
APBB1IP	APOL2	1.811893937
APOL2	APBB1IP	1.811893937
ATP6V1G2	NFASC	1.811874055
NFASC	ATP6V1G2	1.811874055
PSMB10	APBB1IP	1.811830538
APBB1IP	PSMB10	1.811830538
PHYHIP	GNAO1	1.811093246
GNAO1	PHYHIP	1.811093246
SERPINB8	PYCARD	1.810980408
PYCARD	SERPINB8	1.810980408
CAMK2G	ANK2	1.810939736
ANK2	CAMK2G	1.810939736
HCLS1	CYBB	1.810431977
CYBB	HCLS1	1.810431977
CNTNAP1	SYN3	1.810346974
SYN3	CNTNAP1	1.810346974
DPYSL2	SIRPA	1.810078528
SIRPA	DPYSL2	1.810078528
LSAMP	MRAS	1.808789223
MRAS	LSAMP	1.808789223
PLCB1	DPYSL2	1.808552713
DPYSL2	PLCB1	1.808552713
IGSF8	GNAO1	1.807615859
GNAO1	IGSF8	1.807615859
SIRPA	MRAS	1.806469621
MRAS	SIRPA	1.806469621
PLCB1	LSAMP	1.805778966
LSAMP	PLCB1	1.805778966
TMOD2	DPYSL2	1.805510359
DPYSL2	TMOD2	1.805510359
SIRPA	ANK2	1.805352942
ANK2	SIRPA	1.805352942
TPPP	PDXP	1.805104541
PDXP	TPPP	1.805104541
SIRT2	PLCB1	1.804926765
PLCB1	SIRT2	1.804926765
IGSF8	SYN3	1.80467286
SYN3	IGSF8	1.80467286
CA3	TAPT1	1.80424911
TAPT1	CA3	1.80424911
SYNJ1	SYN3	1.802145941
SYN3	SYNJ1	1.802145941
MVP	VIM	1.80207553
VIM	MVP	1.80207553
IGSF8	SIRT2	1.799490668
SIRT2	IGSF8	1.799490668
GBP2	ITGA3	1.799046906
ITGA3	GBP2	1.799046906
GNAQ	GPM6B	1.797810275
GPM6B	GNAQ	1.797810275
SERPINB8	KIF13B	1.797795082
KIF13B	SERPINB8	1.797795082
GBP2	KIF13B	1.797204988
KIF13B	GBP2	1.797204988
PHLDB1	SYNM	1.79692635
SYNM	PHLDB1	1.79692635
DNM3	DPP6	1.796187959
DPP6	DNM3	1.796187959
GNB1	ANK2	1.795584999
ANK2	GNB1	1.795584999
GPM6B	DPYSL2	1.79529164
DPYSL2	GPM6B	1.79529164
CAMK2G	NFASC	1.794670809
NFASC	CAMK2G	1.794670809
CNTNAP1	ATP6V1G2	1.794434853
ATP6V1G2	CNTNAP1	1.794434853
ACSS3	POLD1	1.794030056
POLD1	ACSS3	1.794030056
EHD4	PYCARD	1.793246195
PYCARD	EHD4	1.793246195
EHD4	ITGA3	1.792851732
ITGA3	EHD4	1.792851732
NFASC	ANK2	1.792802647
ANK2	NFASC	1.792802647
MVP	ITGB2	1.792114015
ITGB2	MVP	1.792114015
VIM	PDXP	1.791860009
PDXP	VIM	1.791860009
CNTNAP1	GNAO1	1.790858872
GNAO1	CNTNAP1	1.790858872
IGSF8	NFASC	1.790783571
NFASC	IGSF8	1.790783571
DPYSL2	RAP2A	1.790435402
RAP2A	DPYSL2	1.790435402
MVP	HCLS1	1.789803438
HCLS1	MVP	1.789803438
RAP2A	EPB41L1	1.789659324
EPB41L1	RAP2A	1.789659324
PYGL	APOL2	1.789553199
APOL2	PYGL	1.789553199
CNP	TMOD2	1.78920795
TMOD2	CNP	1.78920795
TPPP	PHYHIP	1.788030288
PHYHIP	TPPP	1.788030288
DPYSL2	NFASC	1.787875224
NFASC	DPYSL2	1.787875224
PTPRC	TAP1	1.787804377
TAP1	PTPRC	1.787804377
ACSS3	BMP2K	1.787648375
BMP2K	ACSS3	1.787648375
SYN3	TTC39C	1.787522858
TTC39C	SYN3	1.787522858
VIM	KIF13B	1.787132962
KIF13B	VIM	1.787132962
MAPK1	CAMK2G	1.786402116
CAMK2G	MAPK1	1.786402116
PTPRC	HLA-DRA	1.785399043
HLA-DRA	PTPRC	1.785399043
EHD4	ACSS3	1.785203514
ACSS3	EHD4	1.785203514
SERPINB8	FCER1G	1.784252061
FCER1G	SERPINB8	1.784252061
DPP6	SYNJ1	1.783487695
SYNJ1	DPP6	1.783487695
FCER1G	TAP1	1.783123836
TAP1	FCER1G	1.783123836
IGSF8	GNB1	1.782147993
GNB1	IGSF8	1.782147993
DNM3	TMOD2	1.778352383
TMOD2	DNM3	1.778352383
DPP6	GNAO1	1.777682458
GNAO1	DPP6	1.777682458
NME5	BMP2K	1.775155687
BMP2K	NME5	1.775155687
ATP1A1	SIRPA	1.77446564
SIRPA	ATP1A1	1.77446564
SYNJ1	GNAO1	1.774169161
GNAO1	SYNJ1	1.774169161
PLCB1	GNAO1	1.774056742
GNAO1	PLCB1	1.774056742
GNAQ	NFASC	1.773842438
NFASC	GNAQ	1.773842438
ANK2	MAP1A	1.773380804
MAP1A	ANK2	1.773380804
CNP	ATP6V1G2	1.77268132
ATP6V1G2	CNP	1.77268132
IGSF8	DNM3	1.772100787
DNM3	IGSF8	1.772100787
HLA-DRA	TAP1	1.771280344
TAP1	HLA-DRA	1.771280344
LSAMP	RAP2A	1.770698013
RAP2A	LSAMP	1.770698013
CNP	PLCB1	1.770164548
PLCB1	CNP	1.770164548
CD74	EHD4	1.76891133
EHD4	CD74	1.76891133
CNP	MAP1A	1.767752361
MAP1A	CNP	1.767752361
SIRT2	CNTNAP1	1.767547753
CNTNAP1	SIRT2	1.767547753
DNM3	MAP1A	1.767335708
MAP1A	DNM3	1.767335708
MAPK1	NFASC	1.767294213
NFASC	MAPK1	1.767294213
PTPRC	ITGA3	1.767139725
ITGA3	PTPRC	1.767139725
TMOD2	SIRPA	1.766852455
SIRPA	TMOD2	1.766852455
GNB1	ATP6V1G2	1.766784531
ATP6V1G2	GNB1	1.766784531
GPM6B	MAPK1	1.765969651
MAPK1	GPM6B	1.765969651
APOL2	FCGR1A	1.765606655
FCGR1A	APOL2	1.765606655
TPPP	DPYSL2	1.765027627
DPYSL2	TPPP	1.765027627
PSMB10	FCGR1A	1.76460662
FCGR1A	PSMB10	1.76460662
DNM3	SYN3	1.763259647
SYN3	DNM3	1.763259647
CNTNAP1	DNM3	1.762937064
DNM3	CNTNAP1	1.762937064
ANK2	GNAO1	1.762093925
GNAO1	ANK2	1.762093925
DNM3	PHYHIP	1.762083001
PHYHIP	DNM3	1.762083001
IGSF8	SYNJ1	1.761750845
SYNJ1	IGSF8	1.761750845
DPP6	ANK2	1.761485757
ANK2	DPP6	1.761485757
DPYSL2	CAMK2G	1.761268316
CAMK2G	DPYSL2	1.761268316
PYGL	VIM	1.760924802
VIM	PYGL	1.760924802
ITGA3	LRP1	1.759816151
LRP1	ITGA3	1.759816151
KIF13B	SYNM	1.759213293
SYNM	KIF13B	1.759213293
SLC1A2	EPB41L1	1.757870023
EPB41L1	SLC1A2	1.757870023
LRP1	LRP1B	1.75782493
LRP1B	LRP1	1.75782493
ATP1A1	ANK2	1.756925888
ANK2	ATP1A1	1.756925888
TTC39C	EIF2D	1.756760404
EIF2D	TTC39C	1.756760404
PTBP1	CAMK2G	1.756400667
CAMK2G	PTBP1	1.756400667
CD74	LRP1	1.755320918
LRP1	CD74	1.755320918
RAP2A	CAMK2G	1.754855851
CAMK2G	RAP2A	1.754855851
GPM6B	RAP2A	1.754762191
RAP2A	GPM6B	1.754762191
PLCB1	DNM3	1.754197396
DNM3	PLCB1	1.754197396
DPP6	SIRPA	1.754080686
SIRPA	DPP6	1.754080686
ITGB2	APOL2	1.753536198
APOL2	ITGB2	1.753536198
PTBP1	GNAQ	1.753524044
GNAQ	PTBP1	1.753524044
ITGB2	ITGA3	1.752920701
ITGA3	ITGB2	1.752920701
LRP1	TAP1	1.751961026
TAP1	LRP1	1.751961026
LSAMP	NFASC	1.751368501
NFASC	LSAMP	1.751368501
PDXP	EIF2D	1.751307816
EIF2D	PDXP	1.751307816
GNAQ	TMOD2	1.751134491
TMOD2	GNAQ	1.751134491
PHYHIP	CAMK2G	1.751106203
CAMK2G	PHYHIP	1.751106203
GPM6B	CAMK2G	1.751092901
CAMK2G	GPM6B	1.751092901
LRP1B	POLD1	1.750423473
POLD1	LRP1B	1.750423473
GNAO1	EPB41L1	1.75013232
EPB41L1	GNAO1	1.75013232
ATP6V1G2	SYN3	1.74994541
SYN3	ATP6V1G2	1.74994541
GPM6B	DPP6	1.74981844
DPP6	GPM6B	1.74981844
TAPT1	BMP2K	1.749511768
BMP2K	TAPT1	1.749511768
EHD4	CYBB	1.749382513
CYBB	EHD4	1.749382513
EHD4	ITGAV	1.748595443
ITGAV	EHD4	1.748595443
PYGL	FCER1G	1.746169263
FCER1G	PYGL	1.746169263
CAMK2G	GNAO1	1.745881819
GNAO1	CAMK2G	1.745881819
PTBP1	MRAS	1.7454123
MRAS	PTBP1	1.7454123
DPP6	EPB41L1	1.744466371
EPB41L1	DPP6	1.744466371
CD74	FCGR1A	1.741761067
FCGR1A	CD74	1.741761067
SYN3	ZNF579	1.741325566
ZNF579	SYN3	1.741325566
PTBP1	SYNJ1	1.74106335
SYNJ1	PTBP1	1.74106335
PHLDB1	APOL2	1.739443953
APOL2	PHLDB1	1.739443953
PTBP1	EPB41L1	1.738326922
EPB41L1	PTBP1	1.738326922
CA3	POLD1	1.736325556
POLD1	CA3	1.736325556
PSMB10	GBP1	1.735808078
GBP1	PSMB10	1.735808078
GBP2	FCER1G	1.735569359
FCER1G	GBP2	1.735569359
PLCB1	ANK2	1.735432747
ANK2	PLCB1	1.735432747
ITGA3	CA3	1.735251486
CA3	ITGA3	1.735251486
TPPP	SYN3	1.734932967
SYN3	TPPP	1.734932967
CNTNAP1	RAP2A	1.73318565
RAP2A	CNTNAP1	1.73318565
ATP1A1	PHYHIP	1.732453027
PHYHIP	ATP1A1	1.732453027
ATP1A1	NFASC	1.732407933
NFASC	ATP1A1	1.732407933
CNP	RAP2A	1.73212923
RAP2A	CNP	1.73212923
SLC1A2	CNP	1.731390834
CNP	SLC1A2	1.731390834
DPP6	NFASC	1.731269402
NFASC	DPP6	1.731269402
ITGB2	C4B	1.730573306
C4B	ITGB2	1.730573306
PTBP1	DNM3	1.730498523
DNM3	PTBP1	1.730498523
MAP1A	PDXP	1.730090329
PDXP	MAP1A	1.730090329
KIF13B	APBB1IP	1.729878833
APBB1IP	KIF13B	1.729878833
RAP2A	MRAS	1.729719229
MRAS	RAP2A	1.729719229
PTBP1	ATP6V1G2	1.729496968
ATP6V1G2	PTBP1	1.729496968
PTPRC	CD74	1.729488417
CD74	PTPRC	1.729488417
MAPK1	EPB41L1	1.729438112
EPB41L1	MAPK1	1.729438112
ATP6V1G2	DPP6	1.728948829
DPP6	ATP6V1G2	1.728948829
TTC39C	TAPT1	1.727665399
TAPT1	TTC39C	1.727665399
PHYHIP	ANK2	1.726079393
ANK2	PHYHIP	1.726079393
GBP2	VIM	1.725626723
VIM	GBP2	1.725626723
PYGL	TAP1	1.725371271
TAP1	PYGL	1.725371271
SQOR	ITGA3	1.725222508
ITGA3	SQOR	1.725222508
PHYHIP	MAP1A	1.725171257
MAP1A	PHYHIP	1.725171257
SIRT2	MAP1A	1.724185558
MAP1A	SIRT2	1.724185558
IGSF8	PDXP	1.723464907
PDXP	IGSF8	1.723464907
TPPP	SYNJ1	1.722821478
SYNJ1	TPPP	1.722821478
DPYSL2	EPB41L1	1.722168723
EPB41L1	DPYSL2	1.722168723
CAMK2G	MRAS	1.722062384
MRAS	CAMK2G	1.722062384
TPPP	ANK2	1.721090156
ANK2	TPPP	1.721090156
PHYHIP	SIRPA	1.721050707
SIRPA	PHYHIP	1.721050707
ITGAV	APBB1IP	1.72084777
APBB1IP	ITGAV	1.72084777
SLC1A2	MAPK1	1.720611214
MAPK1	SLC1A2	1.720611214
PSMB10	ITGA3	1.719141746
ITGA3	PSMB10	1.719141746
PTPRC	BMP2K	1.718725527
BMP2K	PTPRC	1.718725527
PYGL	PTPRC	1.718673282
PTPRC	PYGL	1.718673282
VIM	ITGB2	1.718348369
ITGB2	VIM	1.718348369
PLCB1	MAPK1	1.718169829
MAPK1	PLCB1	1.718169829
GNAQ	DPYSL2	1.717964438
DPYSL2	GNAQ	1.717964438
PYGL	HLA-DRA	1.717512762
HLA-DRA	PYGL	1.717512762
ITGA3	FCER1G	1.716813394
FCER1G	ITGA3	1.716813394
GNAO1	MRAS	1.716681616
MRAS	GNAO1	1.716681616
PLCB1	ATP6V1G2	1.716481944
ATP6V1G2	PLCB1	1.716481944
GPM6B	MRAS	1.716222503
MRAS	GPM6B	1.716222503
GPM6B	LSAMP	1.716204216
LSAMP	GPM6B	1.716204216
EHD4	CA3	1.715899034
CA3	EHD4	1.715899034
PSMB10	SAMHD1	1.715395794
SAMHD1	PSMB10	1.715395794
GNB1	CAMK2G	1.715186645
CAMK2G	GNB1	1.715186645
ATP1A1	GNB1	1.713184726
GNB1	ATP1A1	1.713184726
GNB1	RAP2A	1.713066728
RAP2A	GNB1	1.713066728
CD74	PYCARD	1.713037225
PYCARD	CD74	1.713037225
PLCB1	SYNJ1	1.713016308
SYNJ1	PLCB1	1.713016308
GNB1	DPYSL2	1.711777847
DPYSL2	GNB1	1.711777847
ITGB2	EHD4	1.711368815
EHD4	ITGB2	1.711368815
